Date,High,Low,Open,Close,Volume,Adj Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sar,sarext,sma,t3,tema,trima,wma,rsi,slowk,slowd,fastk,fastd,macd,macdsignal,macdhist,adx,willr,cci,atr,ultosc,roc
2020-03-16,17785.759765625,16914.44921875,17586.080078125,17002.0390625,158100000,17002.0390625,20662.120545858896,18455.180078125,16248.2396103911,,21265.976076230203,,19849.57296857651,21934.405794270835,19714.1142578125,19573.5751953125,21343.096599212775,-19793.760398374212,21934.405794270835,20134.558916028844,16959.32517826957,22371.0548828125,20975.08110719086,14.245228651560424,12.609474731295881,17.21839706505533,0.0,1.7763568394002505e-15,-1405.177161802385,-976.6014629464521,-428.57569885593284,45.09502800450034,-94.59864567282271,-153.41609624900084,701.8520110459579,33.72132337896197,-20.343069365051004
2020-03-17,17557.0390625,16378.9404296875,16726.94921875,17011.529296875,198800000,17011.529296875,19791.502231842012,17884.062109375,15976.62198690799,,20991.495638852448,,19321.70151359365,21727.95078125,19475.134765625,19325.60009765625,20877.846900228997,-19173.12824057437,21727.95078125,19692.89315570917,16756.75203318342,22153.472916666666,20657.476171875,14.385371847097716,15.77488239025937,14.933615142252728,1.860968106904083,0.6203227023013628,-1508.9594116656444,-1083.0730526902905,-425.8863589753539,47.80674872111552,-89.26600051468502,-137.77955948288664,735.8696268864252,36.48219879720432,-19.31059725830846
2020-03-18,17396.83984375,16698.4609375,17154.080078125,16726.55078125,177200000,16726.55078125,18640.46475173076,17346.16015625,16051.85556076924,,20716.3379061039,,18836.336742694744,21519.771158854168,19035.3154296875,19049.35986328125,20427.956253174845,-18614.290678396996,21519.771158854168,19248.80345368728,16555.177941129292,21914.64149576823,20334.805204133063,13.666786215592754,13.218229036314705,13.867528719289984,0.0,0.6203227023013628,-1595.807501418447,-1185.6199424359218,-410.18755898252516,50.3247751008296,-93.49146528838169,-116.60286855759358,733.1917182695377,36.041605211385324,-20.727474956334824
2020-03-19,17160.970703125,16358.1904296875,16995.76953125,16552.830078125,198900000,16552.830078125,17541.75364827998,16944.8,16347.846351720018,,20447.724497847197,,18379.96370097584,21302.045833333334,18948.455078125,19038.98486328125,20023.05467082611,-18167.220628655097,21302.045833333334,18819.27904814588,16416.91617266333,21655.60319824219,20014.357392473117,13.234985278048095,13.609859745767098,14.200990390780388,0.0,0.6203227023013628,-1659.5230978966429,-1280.400573528066,-379.12252436857693,52.734837020942464,-96.36973939518789,-104.29761328818682,738.1623293529635,30.345153151419275,-22.393278555056362
2020-03-23,17049.029296875,16480.94921875,16570.5703125,16887.779296875,170300000,16887.779296875,17186.259775867202,16836.145703125,16486.031630382797,,20218.050613913507,,18094.2589371309,21087.653125,18940.974609375,19038.98486328125,19656.56824671225,-17805.41458886158,21087.653125,18433.891437395694,16651.207310389178,21383.56980794271,19729.566003024192,18.55108475118228,20.111607819378275,15.646565533820024,100.0,33.333333333333336,-1663.8111848337285,-1357.0826957891984,-306.7284890445301,54.97275166104727,-90.12253866706301,-85.01589497142976,726.0135971223947,33.54955514018801,-18.612131245557173
2020-03-24,18100.390625,17197.140625,17206.880859375,18092.349609375,147300000,18092.349609375,18137.16563608593,17054.2078125,15971.249988914069,,20080.9086136207,,18093.98313678411,20894.9451171875,18940.974609375,18879.02978515625,19326.730465009776,16358.1904296875,20894.9451171875,18148.847004629228,17642.698543835002,21107.056705729166,19536.320614919354,34.10724851323574,49.097822001880274,27.606429855675213,100.0,66.66666666666667,-1552.118906823369,-1396.0899379960324,-156.02896882733648,54.74298861010892,-65.60353645849374,-36.883610705422065,760.7705779082951,43.868825080323845,-8.154879674471893
2020-03-25,19564.380859375,18446.80078125,18446.80078125,19546.630859375,147700000,19546.630859375,19822.378321168664,17561.228125,15300.077928831337,,20046.43908108872,,18201.24924392734,20752.233463541666,18940.974609375,18879.02978515625,16358.1904296875,16393.03443359375,20752.233463541666,18019.204064750935,19106.164340139312,20834.6828125,19449.33259828629,47.16138381218368,78.6940276231122,49.30115248145692,100.0,100.0,-1330.9117071648434,-1383.0542918297947,52.1425846649513,52.270897367741426,-36.7583574341926,33.88502801681872,811.5749116291311,53.50072759088126,-1.6131593059944715
2020-03-26,19240.2890625,18512.810546875,19234.76953125,18664.599609375,128100000,18664.599609375,20168.844372483138,17948.837890625,15728.831408766864,,19957.288147429772,,18241.275277713597,20584.8541015625,18651.2900390625,18709.69482421875,16390.252333984376,16519.888290625,20584.8541015625,17993.120682905144,19079.335088220407,20563.59970703125,19314.646543178762,41.78237363408922,90.30698850564563,72.6996127102127,83.93937134827011,94.64645711609005,-1212.7956053564267,-1349.0025545351211,136.20694917869446,49.975384071257324,-50.958858825622976,27.72729706581905,827.4495831199074,52.205432259661265,-3.87030590312486
2020-03-27,19389.4296875,18832.2109375,19021.970703125,19389.4296875,148900000,19389.4296875,20450.633124980614,18516.1578125,16581.68250001939,,19920.652117756883,,18319.265032345815,20435.7947265625,18209.974609375,18352.68994140625,16421.99361923828,16641.667993375,20435.7947265625,18056.19912112511,19504.611591233966,20295.209228515625,19237.522387432797,47.095208212483264,88.56953269396685,85.85684960757489,99.22577327189772,94.38838154005595,-1048.6122645979085,-1288.9244965476787,240.3122319497702,47.637654526855364,-24.010027578288433,62.575614263968085,820.1196184774141,56.77657819405291,4.470987782097202
2020-03-30,19084.970703125,18578.19921875,18884.0703125,19084.970703125,121000000,19084.970703125,20007.88689671231,18955.59609375,17903.305290787688,,19866.737187780633,,18374.460260724292,20277.702734375,18209.974609375,18166.51025390625,16453.417491639648,16758.576508014998,20277.702734375,18167.44485841864,19412.926871062544,20030.432552083334,19150.37245043683,45.23729986959349,82.00345184328422,86.9599910142989,83.67854065113306,88.94789509043363,-932.3159221349888,-1217.6027816651408,285.286859530152,45.71641107206701,-24.604590490082327,51.981669815130154,819.4846792111703,61.39726836025208,9.48835467597895
